line,recipe_ref,ingredient_name,food_id,amount_g,status,reason
"347","","","","","skipped","missing_recipe_id_and_recipe_name"
"348","","","","","skipped","missing_recipe_id_and_recipe_name"
"349","","","","","skipped","missing_recipe_id_and_recipe_name"
"350","","","","","skipped","missing_recipe_id_and_recipe_name"
"351","","","","","skipped","missing_recipe_id_and_recipe_name"
"352","","","","","skipped","missing_recipe_id_and_recipe_name"
"353","","","","","skipped","missing_recipe_id_and_recipe_name"
"354","","","","","skipped","missing_recipe_id_and_recipe_name"
"355","","","","","skipped","missing_recipe_id_and_recipe_name"
"356","","","","","skipped","missing_recipe_id_and_recipe_name"
"357","","","","","skipped","missing_recipe_id_and_recipe_name"
"358","","","","","skipped","missing_recipe_id_and_recipe_name"
"359","","","","","skipped","missing_recipe_id_and_recipe_name"
"360","","","","","skipped","missing_recipe_id_and_recipe_name"
"361","","","","","skipped","missing_recipe_id_and_recipe_name"
"362","","","","","skipped","missing_recipe_id_and_recipe_name"
"363","","","","","skipped","missing_recipe_id_and_recipe_name"
"364","","","","","skipped","missing_recipe_id_and_recipe_name"
"365","","","","","skipped","missing_recipe_id_and_recipe_name"
"366","","","","","skipped","missing_recipe_id_and_recipe_name"
"367","","","","","skipped","missing_recipe_id_and_recipe_name"
"368","","","","","skipped","missing_recipe_id_and_recipe_name"
"369","","","","","skipped","missing_recipe_id_and_recipe_name"
"370","","","","","skipped","missing_recipe_id_and_recipe_name"
"371","","","","","skipped","missing_recipe_id_and_recipe_name"
"372","","","","","skipped","missing_recipe_id_and_recipe_name"
"373","","","","","skipped","missing_recipe_id_and_recipe_name"
"374","","","","","skipped","missing_recipe_id_and_recipe_name"
"375","","","","","skipped","missing_recipe_id_and_recipe_name"
"376","","","","","skipped","missing_recipe_id_and_recipe_name"
"377","","","","","skipped","missing_recipe_id_and_recipe_name"
"378","","","","","skipped","missing_recipe_id_and_recipe_name"
"379","","","","","skipped","missing_recipe_id_and_recipe_name"
"380","","","","","skipped","missing_recipe_id_and_recipe_name"
"381","","","","","skipped","missing_recipe_id_and_recipe_name"
"382","","","","","skipped","missing_recipe_id_and_recipe_name"
"383","","","","","skipped","missing_recipe_id_and_recipe_name"
"384","","","","","skipped","missing_recipe_id_and_recipe_name"
"385","","","","","skipped","missing_recipe_id_and_recipe_name"
"386","","","","","skipped","missing_recipe_id_and_recipe_name"
"387","","","","","skipped","missing_recipe_id_and_recipe_name"
"388","","","","","skipped","missing_recipe_id_and_recipe_name"
"389","","","","","skipped","missing_recipe_id_and_recipe_name"
"390","","","","","skipped","missing_recipe_id_and_recipe_name"
"391","","","","","skipped","missing_recipe_id_and_recipe_name"
"392","","","","","skipped","missing_recipe_id_and_recipe_name"
"393","","","","","skipped","missing_recipe_id_and_recipe_name"
"394","","","","","skipped","missing_recipe_id_and_recipe_name"
"395","","","","","skipped","missing_recipe_id_and_recipe_name"
"396","","","","","skipped","missing_recipe_id_and_recipe_name"
"397","","","","","skipped","missing_recipe_id_and_recipe_name"
"398","","","","","skipped","missing_recipe_id_and_recipe_name"
"399","","","","","skipped","missing_recipe_id_and_recipe_name"
"400","","","","","skipped","missing_recipe_id_and_recipe_name"
"401","","","","","skipped","missing_recipe_id_and_recipe_name"
"402","","","","","skipped","missing_recipe_id_and_recipe_name"
"403","","","","","skipped","missing_recipe_id_and_recipe_name"
"404","","","","","skipped","missing_recipe_id_and_recipe_name"
"405","","","","","skipped","missing_recipe_id_and_recipe_name"
"406","","","","","skipped","missing_recipe_id_and_recipe_name"
"407","","","","","skipped","missing_recipe_id_and_recipe_name"
"408","","","","","skipped","missing_recipe_id_and_recipe_name"
"409","","","","","skipped","missing_recipe_id_and_recipe_name"
"410","","","","","skipped","missing_recipe_id_and_recipe_name"
"411","","","","","skipped","missing_recipe_id_and_recipe_name"
"412","","","","","skipped","missing_recipe_id_and_recipe_name"
"413","","","","","skipped","missing_recipe_id_and_recipe_name"
"414","","","","","skipped","missing_recipe_id_and_recipe_name"
"415","","","","","skipped","missing_recipe_id_and_recipe_name"
"416","","","","","skipped","missing_recipe_id_and_recipe_name"
"417","","","","","skipped","missing_recipe_id_and_recipe_name"
"418","","","","","skipped","missing_recipe_id_and_recipe_name"
"419","","","","","skipped","missing_recipe_id_and_recipe_name"
"420","","","","","skipped","missing_recipe_id_and_recipe_name"
"421","","","","","skipped","missing_recipe_id_and_recipe_name"
"422","","","","","skipped","missing_recipe_id_and_recipe_name"
"423","","","","","skipped","missing_recipe_id_and_recipe_name"
"424","","","","","skipped","missing_recipe_id_and_recipe_name"
"425","","","","","skipped","missing_recipe_id_and_recipe_name"
"426","","","","","skipped","missing_recipe_id_and_recipe_name"
"427","","","","","skipped","missing_recipe_id_and_recipe_name"
"428","","","","","skipped","missing_recipe_id_and_recipe_name"
"429","","","","","skipped","missing_recipe_id_and_recipe_name"
"430","","","","","skipped","missing_recipe_id_and_recipe_name"
"431","","","","","skipped","missing_recipe_id_and_recipe_name"
"432","","","","","skipped","missing_recipe_id_and_recipe_name"
"433","","","","","skipped","missing_recipe_id_and_recipe_name"
"434","","","","","skipped","missing_recipe_id_and_recipe_name"
"435","","","","","skipped","missing_recipe_id_and_recipe_name"
"436","","","","","skipped","missing_recipe_id_and_recipe_name"
"437","","","","","skipped","missing_recipe_id_and_recipe_name"
"438","","","","","skipped","missing_recipe_id_and_recipe_name"
"439","","","","","skipped","missing_recipe_id_and_recipe_name"
"440","","","","","skipped","missing_recipe_id_and_recipe_name"
"441","","","","","skipped","missing_recipe_id_and_recipe_name"
"442","","","","","skipped","missing_recipe_id_and_recipe_name"
"443","","","","","skipped","missing_recipe_id_and_recipe_name"
"444","","","","","skipped","missing_recipe_id_and_recipe_name"
"445","","","","","skipped","missing_recipe_id_and_recipe_name"
"446","","","","","skipped","missing_recipe_id_and_recipe_name"
"447","","","","","skipped","missing_recipe_id_and_recipe_name"
"448","","","","","skipped","missing_recipe_id_and_recipe_name"
"449","","","","","skipped","missing_recipe_id_and_recipe_name"
"450","","","","","skipped","missing_recipe_id_and_recipe_name"
"451","","","","","skipped","missing_recipe_id_and_recipe_name"
"452","","","","","skipped","missing_recipe_id_and_recipe_name"
"453","","","","","skipped","missing_recipe_id_and_recipe_name"
"454","","","","","skipped","missing_recipe_id_and_recipe_name"
"455","","","","","skipped","missing_recipe_id_and_recipe_name"
"456","","","","","skipped","missing_recipe_id_and_recipe_name"
"457","","","","","skipped","missing_recipe_id_and_recipe_name"
"458","","","","","skipped","missing_recipe_id_and_recipe_name"
"459","","","","","skipped","missing_recipe_id_and_recipe_name"
"460","","","","","skipped","missing_recipe_id_and_recipe_name"
"461","","","","","skipped","missing_recipe_id_and_recipe_name"
"462","","","","","skipped","missing_recipe_id_and_recipe_name"
"463","","","","","skipped","missing_recipe_id_and_recipe_name"
"464","","","","","skipped","missing_recipe_id_and_recipe_name"
"465","","","","","skipped","missing_recipe_id_and_recipe_name"
"466","","","","","skipped","missing_recipe_id_and_recipe_name"
"467","","","","","skipped","missing_recipe_id_and_recipe_name"
"468","","","","","skipped","missing_recipe_id_and_recipe_name"
"469","","","","","skipped","missing_recipe_id_and_recipe_name"
"470","","","","","skipped","missing_recipe_id_and_recipe_name"
"471","","","","","skipped","missing_recipe_id_and_recipe_name"
"472","","","","","skipped","missing_recipe_id_and_recipe_name"
"473","","","","","skipped","missing_recipe_id_and_recipe_name"
"474","","","","","skipped","missing_recipe_id_and_recipe_name"
"475","","","","","skipped","missing_recipe_id_and_recipe_name"
"476","","","","","skipped","missing_recipe_id_and_recipe_name"
"477","","","","","skipped","missing_recipe_id_and_recipe_name"
"478","","","","","skipped","missing_recipe_id_and_recipe_name"
"479","","","","","skipped","missing_recipe_id_and_recipe_name"
"480","","","","","skipped","missing_recipe_id_and_recipe_name"
